Supermarket,Category,Product Title,Product Price,$ per kg/L,$ per piece,Base Price,Per unit,Product URL,Product Sale
Woolworths,Fruits and Veg,Macro Organic Herb Coriander Bunch each,4.90,,4.90,4.9,1EA,https://www.woolworths.com.au/shop/productdetails/427867/macro-organic-herb-coriander-bunch,
Woolworths,Fruits and Veg,Fresh Corella Pear each,1.38,,1.38,1.38,1EA,https://www.woolworths.com.au/shop/productdetails/145182/fresh-corella-pear,
Woolworths,Fruits and Veg,Woolworths COOK Baby Potatoes With Butter & Herb 400g,5.50,13.75,,13.75,1KG,https://www.woolworths.com.au/shop/productdetails/224918/woolworths-cook-baby-potatoes-with-butter-herb,
Woolworths,Fruits and Veg,Woolworths Brussel Sprouts Prepack Punnet 500g,5.50,11.00,,11.0,1KG,https://www.woolworths.com.au/shop/productdetails/134784/woolworths-brussel-sprouts-prepack-punnet,
Woolworths,Fruits and Veg,Woolworths Roast Mixed Vegetables With Garlic & Rosemary 500g,5.50,11.00,,11.0,1KG,https://www.woolworths.com.au/shop/productdetails/583615/woolworths-roast-mixed-vegetables-with-garlic-rosemary,
Woolworths,Fruits and Veg,Candy Hearts™ Grapes 400g,6.90,17.25,,17.25,1KG,https://www.woolworths.com.au/shop/productdetails/85417/grape-candy-hearts-grapes,
Woolworths,Fruits and Veg,Galiko All Natural Garlic Minced Jar 145g,3.00,21.00,,0.21,10G,https://www.woolworths.com.au/shop/productdetails/185243/galiko-all-natural-garlic-minced-jar,
Woolworths,Fruits and Veg,Fresh Papple each,1.42,,1.42,1.42,1EA,https://www.woolworths.com.au/shop/productdetails/609700/pear-fresh-papple,
Woolworths,Fruits and Veg,Organic Strawberry Punnet 250g,7.50,30.00,,30.0,1KG,https://www.woolworths.com.au/shop/productdetails/149820/organic-strawberry-punnet,
Woolworths,Fruits and Veg,Papaya Red Cut Half each,2.95,,2.95,2.95,1EA,https://www.woolworths.com.au/shop/productdetails/173415/papaya-red-cut-half,
Woolworths,Fruits and Veg,Woolworths Thai Basil Punnet 15g,3.20,213.00,,2.13,10G,https://www.woolworths.com.au/shop/productdetails/707363/woolworths-thai-basil-punnet,
Woolworths,Fruits and Veg,Woolworths Rainbow Coleslaw 300g,3.00,10.00,,10.0,1KG,https://www.woolworths.com.au/shop/productdetails/702156/woolworths-rainbow-coleslaw,
Woolworths,Fruits and Veg,Woolworths Asian Salad Bowl 230g,5.50,23.91,,23.91,1KG,https://www.woolworths.com.au/shop/productdetails/164644/woolworths-asian-salad-bowl,*ON SALE* Save $0.50
Woolworths,Fruits and Veg,Avofresh Smashed Avocado 160g,5.70,35.60,,3.56,100G,https://www.woolworths.com.au/shop/productdetails/820738/avofresh-smashed-avocado,
